rnum,header,ok_words_count,bad_words_count
1,Заглавная страница,0,0
2,Файл:Wiki.png,0,0
3,Шаблон:Opentask,0,0
4,Шаблон:Clear,0,0
5,Fallout,0,4
6,Шаблон:Википедия,0,0
7,Шаблон:Случайная статья,0,0
8,MediaWiki:Recentchangestext,0,0
9,SPECIAL,0,0
10,Участник:Winterheart,0,0
11,S.P.E.C.I.A.L.,0,0
12,Выходец из Убежища,0,2
13,Убежище 13,0,4
14,Избранный,2,2
15,Шаблон:Незавершённая статья,0,0
16,Водяной чип,0,0
17,Категория:Незавершённые статьи,0,0
18,Категория:Служебная,0,0
19,Категория:Люди,0,0
20,Категория:Персонажи по расам,0,0
21,Категория:Сеттинг Fallout,0,0
22,Категория:Fallout,0,0
23,Категория:Игры,0,0
24,Категория:Персонажи Fallout,0,0
25,Категория:SPECIAL,0,0
26,История Fallout,0,0
27,Fallout 2,0,5
28,Категория:Fallout 2,0,0
29,Fallout Tactics: Brotherhood of Steel,1,3
30,Категория:Fallout Tactics,0,0
31,Van Buren,0,0
32,Fallout 3,0,0
33,Категория:Fallout 3,0,0
34,Brotherhood of Steel,0,0
35,Братство Стали,1,4
36,Ян (Fallout),2,0
37,Эд (Fallout),0,0
38,Категория:Убежища,0,0
39,Убежище,0,1
40,Убежища,0,0
41,Сила,0,0
42,Категория:Основные характеристики,0,0
43,Выносливость,0,0
44,Восприятие,0,0
45,Харизма,0,0
46,Интеллект,0,0
47,Ловкость,0,0
48,Удача,0,0
49,Обсуждение участника:Astigmo,0,0
50,Interplay Entertainment,0,0
51,Категория:Компании,0,0
52,Шаблон:Welcome,0,0
53,Обсуждение участника:Ausir,0,0
54,Очки действия,0,0
55,Обсуждение:Братство Стали,0,0
56,Main Page,0,0
57,ГЭКК,0,1
58,Категория:Квестовые предметы,0,0
59,Fallout Tactics,0,0
60,Категория:Производные характеристики,0,0
61,Black Isle Studios,0,0
62,Класс брони,0,0
63,Реакция,0,0
64,Сопротивляемость ядам,0,0
65,Сопротивляемость урону,0,0
66,Шанс на критическое попадание,0,0
67,Скорость восстановления,0,0
68,MediaWiki:Common.js,0,0
69,MediaWiki:Edittools,0,0
70,Сопротивляемость радиации,2,0
71,Максимальный груз,0,0
72,Урон холодным оружием,0,0
73,Отравление,0,6
74,Очки здоровья,0,0
75,Bethesda Softworks,0,0
76,Interplay,0,0
77,Уровень персонажа,0,0
78,Непробиваемость,1,0
79,Категория:Способности,0,0
80,Обсуждение участника:Lumer,0,0
81,Категория:Состояние персонажа,0,0
82,Лучевая болезнь,0,0
83,Способность,0,0
84,Категория:Способности Fallout,0,0
85,Категория:Способности Fallout 2,0,0
86,Категория:Способности Fallout Tactics,0,0
87,Способности Fallout 2,0,0
88,Перк,0,0
89,Категория:Локации Fallout,0,0
90,Категория:Локации Fallout 2,0,0
91,Категория:Всё,0,0
92,Категория:Шаблоны,0,0
93,Категория:Персонажи Fallout 2,0,0
94,Обсуждение участника:Winterheart,0,0
95,Гарольд,0,2
96,Убежище:Справка по редактированию,0,0
97,Участник:Astigmo,0,0
98,Основная характеристика,0,0
99,Создатель,1,3
100,Сет (Некрополь),0,0
101,Категория:Персонажи по локациям,0,0
102,Категория:Обитатели Убежища 13,0,0
103,Категория:Обитатели Арройо,0,0
104,Категория:Обитатели Гекко,0,0
105,"Достать кремень, чтобы Минок заточил вам копьё",0,0
106,Дыра,0,0
107,Категория:Локации,0,0
108,Дэн,0,0
109,Ден,0,0
110,Сломана рука,1,0
111,Состояние,0,0
112,Кламат,0,0
113,Мецгер,0,0
114,Производная характеристика,0,0
115,Некрополь,0,0
116,Убежище 12,0,0
117,Джанктаун,0,0
118,Рейдеры,0,0
119,Категория:Организации,0,0
120,Убежище 15,0,0
121,Волт-Тек,0,0
122,Категория:Довоенные организации,0,0
123,Хаб,0,0
124,Ричард Грей,0,0
125,Категория:Обитатели Хаба,0,0
126,Категория:Хаб,0,0
127,Категория:Гекко,0,0
128,Категория:Джанктаун,0,0
129,Wasteland,0,1
130,Псина (Fallout),0,0
131,Категория:Собаки,0,0
132,Категория:Пасхальные яйца,0,0
133,Разло,5,3
134,СССР,0,0
135,Категория:Квесты Fallout 2,0,0
136,Анклав,0,8
137,Производные характеристики,0,0
138,Наталия Дубровская,0,0
139,Наталья,0,0
140,Особенность,0,0
141,Категория:Особенности,0,0
142,Основные характеристики,0,0
143,Точность (особенность),0,0
144,Остановить радскорпионов,0,3
145,Категория:Квесты Fallout,0,0
146,Арадеш,0,0
147,Способности Fallout,1,0
148,Сломана нога,2,0
149,Крис Авеллон,0,0
150,Категория:Разработчики Fallout 2,0,0
151,Категория:Разработчики Van Buren,0,0
152,Гизмо,0,0
153,Киллиан Даркуотер,0,0
154,Категория:Обитатели Джанктауна,0,0
155,Киллиан,0,0
156,Шэйди Сэндс (Fallout),0,0
157,Броня и одежда,0,0
158,Человек,0,1
159,Фрэнк Хорриган,0,2
160,V.A.T.S.,0,1
161,США,0,0
162,Соединённые Штаты Америки,1,0
163,Супермутант,0,0
164,Категория:Супермутанты,0,0
165,Категория:Предметы,0,0
166,Категория:Анклав,0,0
167,Категория:Персонажи Fallout 3,0,0
168,Убежище 108,0,0
169,Категория:Локации Fallout 3,0,0
170,Шаблон:Годы,0,0
171,1942 год,0,0
172,Категория:История Fallout,0,0
173,2053 год,0,0
174,2054 год,0,0
175,2055 год,0,1
176,2052 год,0,0
177,2051 год,0,0
178,2050 год,0,0
179,2059 год,0,0
180,2060 год,0,0
181,2062 год,0,0
182,2063 год,0,0
183,2065 год,0,0
184,2066 год,0,0
185,2067 год,0,0
186,2069 год,0,0
187,2070 год,0,0
188,2072 год,0,0
189,Заброшенная стоянка,0,0
190,Дом Агаты,0,0
191,Оружейные склады Александрии,0,0
192,Столичная Пустошь,0,0
193,Корабль пришельцев,0,0
194,Файл:Favicon.ico,0,0
195,2077 год,0,0
196,2080 год,0,0
197,Люди,0,0
198,2081 год,0,0
199,2082 год,0,0
200,2083 год,0,0
201,2084 год,0,0
202,2090 год,0,0
203,2091 год,0,0
204,2093 год,0,0
205,2096 год,0,0
206,2097 год,0,0
207,2130 год,0,0
208,Категория:Принципы боя,0,0
209,MediaWiki:Common.css,0,0
210,Новая чума,0,0
211,Шаблон:Van Buren,0,0
212,2002 год,0,0
213,Категория:Гули,0,0
214,Шаблон:Main,0,0
215,Гуль,0,0
